CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF20,AF21,AF22
P000,0,0,AN000,IRQ6-DS,,,,,,,,,,,,,,,,,,,,,,,
P001,0,1,AN001,IRQ7-DS,,,,,,,,,,,,,,,,,,,,,,,
P002,0,2,AN002,IRQ8-DS,,,,,,,,,,,,,,,,,,,,,,,
P003,0,3,AN007,,,,,,,,,,,,,,,,,,,,,,,,
P004,0,4,AN100,IRQ9-DS,,,,,,,,,,,,,,,,,,,,,,,
P005,0,5,AN101,RQ10-DS,,,,,,,,,,,,,,,,,,,,,,,
P006,0,6,AN102,IRQ11-DS,,,,,,,,,,,,,,,,,,,,,,,
P007,0,7,AN107,,,,,,,,,,,,,,,,,,,,,,,,
P008,0,8,AN003,IRQ12-DS,,,,,,,,,,,,,,,,,,,,,,,
-,0,9,,,,,,,,,,,,,,,,,,,,,,,,,
-,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
-,0,11,,,,,,,,,,,,,,,,,,,,,,,,,
-,0,12,,,,,,,,,,,,,,,,,,,,,,,,,
-,0,13,,,,,,,,,,,,,,,,,,,,,,,,,
P014,0,14,AN005,,,,,,,,,,,,,,,,,,,,,,,,
P015,0,15,AN006,IRQ13,,,,,,,,,,,,,,,,,,,,,,,
P100,1,0,AN022,IRQ2,,AGTIO0,GTETRGA,GTIOC5B,RXD0/MISO0/SCL0,SCK1,MISOA_A,SCL1_B,KR00,,,D00[A00/D00],,,,,,,,,,,
P101,1,1,AN021,IRQ1,,AGTEE0,GTETRGB,GTIOC5A,TXD0/MOSI0/SDA0,CTS1_RTS1/SS1,MOSIA_A,SDA1_B,KR01,,,D01[A01/D01],,,,,,,,,,,
P102,1,2,AN020,,,AGTO0,GTOWLO,GTIOC2B_A,SCK0,,RSPCKA_A,,KR02,,ADTRG0,D02[A02/D02],,,,,CRX0,,,,,,
P103,1,3,AN019,,,,GTOWUP,GTIOC2A_A,CTS0_RTS0/SS0,,SSLA0_A,,KR03,,,D03[A03/D03],,,,,CTX0,,,,,,
P104,1,4,,IRQ1,,,GTETRGB,GTIOC1B,RXD8/MISO8/SCL8,,SSLA1_A,,KR04,,,D04[A04/D04,,,,,,QIO0,,,,,
P105,1,5,,IRQ0,,,GTETRGA,GTIOC1A,TXD8/MOSI8/SDA8,,SSLA2_A,,KR05,,,D05[A05/D05],,,,,,QIO1,,,,,
P106,1,6,,,AGTOB0,,,GTIOC8B,SCK8,,SSLA3_A,,KR06,,,D06[A06/D06],,,,,,QIO2,,,,,
P107,1,7,,,AGTOA0,,,GTIOC8A,CTS8_RTS8/SS8,,,,KR07,,,D07[A07/D07],,,,,,QIO3,,,,,
P108,1,8,,,"TMS/
SWDIO",,GTOULO,GTIOC0B_A,,CTS9_RTS9/SS9,SSLB0_B,,,,,,,,,,,,,,,,
P109,1,9,,,"TDO/
TRACESWO",,GTOVUP,GTIOC1A_A,,TXD9/MOSI9/SDA9,MOSIB_B,,,CLKOUT,,,,,,,CTX1,,,,,,
P110,1,10,,IRQ3,TDI,,GTOVLO,GTIOC1B_A,CTS2_RTS2/SS2,RXD9/MISO9/SCL9,MISOB_B,,,VCOUT,,,,,,,CRX1,,,,,,
P111,1,11,,IRQ4,Hi-Z,,,GTIOC3A_A,SCK2,SCK9,RSPCKB_B,,,,,A05,,,,,,,,,,,
P112,1,12,,,,,,GTIOC3B_A,TXD2/MOSI2/SDA2,SCK1,SSLB0_B,,,,,A04,,,,,,,SSIBCK0,,,,
P113,1,13,,,,,,GTIOC2A,RXD2/MISO2/SCL2,,,,,,,A03,,,,,,,SSILRCK0/SSIFS0,,,,
P114,1,14,,,,,,GTIOC2B,,,,,,,,A02,,,,,,,SSIRXD0,,,,
P115,1,15,,,,,,GTIOC4A,,,,,,,,A01,,,,,,,SSITXD0,,,,
P200,2,0,,NMI,,,,,,,,,,,,,,,,,,,,,,,
P201,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
-,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
-,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
-,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
P205,2,5,,IRQ1-DS,,AGTO1,GTIV,GTIOC4A,TXD4/MOSI4/SDA4,CTS9_RTS9/SS9,,SCL1_A,,CLKOUT,,WAIT,TSCAP,,,,,,,USB_OVRCURA,,SD0DAT3_A,
P206,2,6,,IRQ0-DS,,,GTIU,,RXD4/MISO4/SCL4,,,SDA1_A,,,,,TS01,,,,,,,USB_VBUSEN,,SD0DAT2_A,
P207,2,7,,,,,,,,,,,,,,,,,,,,QSSL,,,,,
P208,2,8,,,,,GTOVL0,,,,,,,,,CS4,,,,,,QIO3,,,,SD0DAT0_B,TDATA3
P209,2,9,,,,,GTOVUP,,,,,,,,,CS5,,,,,,QIO2,,,,SD0WP,TDATA2
P210,2,10,,,,,GTIW,,,,,,,,,CS6,,,,,,QIO1,,,,SD0CD,TDATA1
P211,2,11,,,,,GTIV,,,,,,,,,CS7,,,,,,QIO0,,,,SD0CMD_B,TDATA0
P212,2,12,,IRQ3,,AGTEE1,GTETRGD,GTIOC0B,,RXD1/MISO1/SCL1,,,,,,,,,,,,,,,,,
P213,2,13,,IRQ2,,,GTETRGC,GTIOC0A,,TXD1/MOSI1/SDA1,,,,,,,,,,,,,,,,,
P214,2,14,,,,,GTIU,,,,,,,,,,,,,,,QSPCLK,,,,SD0CLK_B, TCLK
-,2,15,,,,,,,,,,,,,,,,,,,,,,,,,
P300,3,0,,,TCK/SWCLK,,,GTIOC0A_A,,,SSLB1_B,,,,,,,,,,,,,,,,
P301,3,1,,IRQ6,,AGTIO0,GTOULO,GTIOC4B,RXD2/MISO2/SCL2,CTS9_RTS9/SS9,SSLB2_B,,,,,A06,,,,,,,,,,,
P302,3,2,,IRQ5,,,GTOUUP,GTIOC4A,TXD2/MOSI2/SDA2,,SSLB3_B,,,,,A07,,,,,,,,,,,
P303,3,3,,,,,,GTIOC7B,,,,,,,,A08,,,,,,,,,,,
P304,3,4,,IRQ9,,,GTOWLO,GTIOC7A,,,,,,,,A09,,,,,,,,,,,
P305,3,5,,IRQ8,,,GTOWUP,,,,,,,,,A10,,,,,,QSPCLK,,,,,
P306,3,6,,,,,,,,,,,,,,A11,,,,,,QSSL,,,,,
P307,3,7,,,,,,,,,,,,,,A12,,,,,,QIO0,,,,,
-,3,8,,,,,,,,,,,,,,,,,,,,,,,,,
-,3,9,,,,,,,,,,,,,,,,,,,,,,,,,
-,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
-,3,11,,,,,,,,,,,,,,,,,,,,,,,,,
-,3,12,,,,,,,,,,,,,,,,,,,,,,,,,
-,3,13,,,,,,,,,,,,,,,,,,,,,,,,,
-,3,14,,,,,,,,,,,,,,,,,,,,,,,,,
-,3,15,,,,,,,,,,,,,,,,,,,,,,,,,
P400,4,0,,IRQ0,,AGTIO1,,GTIOC6A,SCK4,,,SCL0_A,,,ADTRG1,,,,,,,,AUDIO_CLK,,,,
P401,4,1,,IRQ5-DS,,,GTETRGA,GTIOC6B,CTS4_RTS4/SS4,,,SDA0_A,,,,,,,,,,,,,,,
P402,4,2,,IRQ4-DS,,,,,,,,,,,CACREF,,,,,,,,AUDIO_CLK,,,,
P403,4,3,,,,,,GTIOC3A,,,,,,,,,,,,,,,SSIBCK0_A,,,,
P404,4,4,,,,,,GTIOC3B,,,,,,,,,,,,,,,SSILRCK0/SSIFS0_A,,,,
P405,4,5,,,,,,GTIOC1A,,,,,,,,,,,,,,,SSITXD0_A,,,,
P406,4,6,,,,,,GTIOC1B,,,,,,,,,,,,,,,SSIRXD0_A,,,,
P407,4,7,,,,AGTIO0,,,CTS4_RTS4/SS4,,,SDA0_B,,RTCOUT,ADTRG0,,TS03,,,,,,,USB_VBUS,,,
P408,4,8,,IRQ7,,,GTOWLO,GTIOC10B,CTS1_RTS1/SS1,RXD3/MISO3/SCL3,,,,,,,TS04,,,,,,,USB_ID,,,
P409,4,9,,IRQ6,,,GTOWUP,GTIOC10A,,TXD3/MOSI3/SDA3,,,,,,,TS05,,,,,,,USB_EXICEN,,,
P410,4,10,,IRQ5,,AGTOB1,GTOVLO,GTIOC9B,RXD0/MISO0/SCL0,SCK3,MISOA_B,,,,,,TS06,,,,,,,,,SD0DAT1_A,
P411,4,11,,IRQ4,,AGTOA1,GTOVUP,GTIOC9A,TXD0/MOSI0/SDA0,CTS3_RTS3/SS3,MOSIA_B,,,,,,TS07,,,,,,,,,SD0DAT0_A,
P412,4,12,,,,AGTEE1,GTOULO,,SCK0,,RSPCKA_B,,,,,,TS08,,,,,,,,,SD0CMD_A,
P413,4,13,,,,,GTOUUP,,CTS0_RTS0/SS0,,SSLA0_B,,,,,,TS09,,,,,,,,,SD0CLK_A,
P414,4,14,,IRQ9,,,,GTIOC0B,,,SSLA1_B,,,,,,TS10,,,,,,,,,SD0WP,
P415,4,15,,IRQ8,,,,GTIOC0A,,,SSLA2_B,,,,,,TS11,,,,,,,USB_VBUSEN,,SD0CD,
P500,5,0,AN016,,,AGTOA0,GTIU,GTIOC11A,,,,,,,,,,,,,,QSPCLK,,USB_VBUSEN,,SD1CLK_A ,
P501,5,1,AN116,IRQ11,,AGTOB0,GTIV,GTIOC11B,,,,,,,,,,,,,,QSSL,,USB_OVRCURA,,SD1CMD_A,
P502,5,2,AN017,IRQ12,,,GTIW, GTIOC12A,,,,,,,,,,,,,,QIO0,,USB_OVRCURB,,SD1DAT0_A,
P503,5,3,AN117,,,,GTETRGC,GTIOC12B,,,,,,,,,,,,,,QIO1,,USB_EXICEN,,SD1DAT1_A,
P504,5,4,AN018,,,,GTETRGD,,,,,,,,,,,,,,,QIO2,,USB_ID,,SD1DAT2_A,
-,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
-,5,6,,,,,,,,,,,,,,,,,,,,,,,,,
-,5,7,,,,,,,,,,,,,,,,,,,,,,,,,
P508,5,8,AN020,,,,,,,,,,,,,,,,,,,,,,,SD1DAT3_A,
-,5,9,,,,,,,,,,,,,,,,,,,,,,,,,
-,5,10,,,,,,,,,,,,,,,,,,,,,,,,,
-,5,11,,,,,,,,,,,,,,,,,,,,,,,,,
-,5,12,,,,,,,,,,,,,,,,,,,,,,,,,
-,5,13,,,,,,,,,,,,,,,,,,,,,,,,,
-,5,14,,,,,,,,,,,,,,,,,,,,,,,,,
-,5,15,,,,,,,,,,,,,,,,,,,,,,,,,
P600,6,0,,,,,,GTIOC6B,,SCK9,,,,CLKOUT,CACREF,RD,,,,,,,,,,,
P601,6,1,,,,,,GTIOC6A,,RXD9,,,,,,WR0,,,,,,,,,,,
P602,6,2,,,,,,GTIOC7B,,TXD9,,,,,,EBCLK,,,,,,,,,,,
P603,6,3,,,,,,GTIOC7A,,,,,,,,,,,,,,,,,,,
-,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
-,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
-,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
-,6,7,,,,,,,,,,,,,,,,,,,,,,,,,
P608,6,8,,,,,,GTIOC4B,,,,,,,,A00,,,,,,,,,,,
P609,6,9,,,,,,GTIOC5A,,,,,,,,CS1,,,,,CTX1,,,,,,
P610,6,10,,,,,,GTIOC5B,,,,,,,,CS0,,,,,CRX1,,,,,,
-,6,11,,,,,,,,,,,,,,,,,,,,,,,,,
-,6,12,,,,,,,,,,,,,,,,,,,,,,,,,
-,6,13,,,,,,,,,,,,,,,,,,,,,,,,,
-,6,14,,,,,,,,,,,,,,,,,,,,,,,,,
-,6,15,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,0,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,4,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,5,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,6,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,7,,,,,,,,,,,,,,,,,,,,,,,,,
P708,7,8,,IRQ11,,,,,,RXD1/MISO1/SCL1,SSLA3_B,,,,CACREF,,TS12,,,,,,AUDIO_CLK,,,,
-,7,9,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,10,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,11,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,12,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,13,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,14,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,15,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,0,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,4,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,5,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,6,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,7,,,,,,,,,,,,,,,,,,,,,,,,,
P808,8,8,,,,,,,,,,,,,,,,,,,,,,,,,
P809,8,9,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,10,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,11,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,12,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,13,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,14,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,15,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,0,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,1,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,2,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,3,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,4,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,5,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,6,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,7,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,8,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,9,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,10,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,11,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,12,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,13,,,,,,,,,,,,,,,,,,,,,,,,,
P914,9,14,,,,,,,,,,,,,,,,,,,,,,(USB_DP),,,
P915,9,15,,,,,,,,,,,,,,,,,,,,,,(USB_DM),,,
