MB1_AN,PA2
MB1_RST,PE7
MB1_CS,PE8
MB1_SCK,PC10
MB1_MISO,PC11
MB1_MOSI,PC12
MB1_PWM,PE9
MB1_INT,PE10
MB1_RX,PD6
MB1_TX,PD5
MB1_SCL,PA8
MB1_SDA,PC9
MB2_AN,PA3
MB2_RST,PE13
MB2_CS,PE11
MB2_SCK,PB13
MB2_MISO,PB14
MB2_MOSI,PB15
MB2_PWM,PD12
MB2_INT,PE14
MB2_RX,PD9
MB2_TX,PD8
MB2_SCL,PB10
MB2_SDA,PB11
PIN1,VSYS
PIN2,GND
PIN3,PC0
PIN4,PC1
PIN5,PC2
PIN6,PC3
PIN7,PB1
PIN8,PA4
PIN9,PC4
PIN10,PD3
PIN11,PD1
PIN12,PD2
PIN13,PD0
PIN14,PC8
PIN15,PD15
PIN16,PD14
PIN17,PD13
PIN18,PB7
PIN19,PC7
PIN20,PD11
PIN21,PD10
PIN22,PB13
PIN23,PB14
PIN24,PB15
PIN25,3.3V
PIN26,GND
PIN27,RST
PIN28,GND
PIN30,NC
PIN31,PB9
PIN32,PB8
PIN33,PE5
PIN34,PB0
PIN35,PA5
PIN36,PA6
PIN37,PA7
PIN38,PE1
PIN39,PE2
PIN40,PE3
PIN41,PE4
PIN42,PE6
PIN43,PB6
PIN44,PB5
PIN45,PD7
PIN46,PC13
PIN47,PA1
PIN48,PA0
PIN49,PB10
PIN50,PB11
PIN51,3.3V
PIN52,GND
OSC32_OUT,PC15
OSC32_IN,PC14
VSENSE,PC5
SENSEL,PB12
FAULT,PC6
BATSTAT,PD4
LD1,PE12
LD2,PE15
T2,PE0
T3,PA10
USB_VBUS,PA9
USB_DM,PA11
USB_DP,PA12